time, tf_x, tf_y, tf_z, loc_x, loc_y, loc_z, vel_x, vel_y, vel_z, velr_x, velr_y, velr_z, shortDist, control_mode, ttc, joy_x, joy_y, joy_z, joy_yaw, traj_futura
28.856,0.00641754,-0.0084851,0.106868,0.00583778,-0.00776523,0.102268,0.0702135,-0.0836528,0.524414,0.0610505,-0.0744677,0.52694,1000,0,1.5,0,0,0,0,[{28.95:[0.0128591;-0.0161305;0.15471]}+{29.05:[0.0198805;-0.0244958;0.207151]}+{29.15:[0.0269018;-0.0328611;0.259593]}+{29.25:[0.0339232;-0.0412263;0.312034]}+{29.35:[0.0409445;-0.0495916;0.364475]}+{29.45:[0.0479659;-0.0579569;0.416917]}+{29.55:[0.0549872;-0.0663222;0.469358]}+{29.65:[0.0620086;-0.0746874;0.5218]}+{29.75:[0.0690299;-0.0830527;0.574241]}+{29.85:[0.0760513;-0.091418;0.626683]}+{29.95:[0.0830727;-0.0997833;0.679124]}+{30.05:[0.090094;-0.108149;0.731565]}+{30.15:[0.0971154;-0.116514;0.784007]}+{30.25:[0.104137;-0.124879;0.836448]}+],
28.861,0.00702897,-0.00923247,0.111589,0.00641754,-0.0084851,0.106868,0.0702135,-0.0836528,0.524414,0.0610505,-0.0744677,0.52694,1000,0,1.5,0,0,0,0,[{28.95:[0.0134389;-0.0168504;0.15931]}+{29.05:[0.0204602;-0.0252157;0.211751]}+{29.15:[0.0274816;-0.0335809;0.264193]}+{29.25:[0.0345029;-0.0419462;0.316634]}+{29.35:[0.0415243;-0.0503115;0.369075]}+{29.45:[0.0485456;-0.0586768;0.421517]}+{29.55:[0.055567;-0.067042;0.473958]}+{29.65:[0.0625883;-0.0754073;0.5264]}+{29.75:[0.0696097;-0.0837726;0.578841]}+{29.85:[0.0766311;-0.0921379;0.631282]}+{29.95:[0.0836524;-0.100503;0.683724]}+{30.05:[0.0906738;-0.108868;0.736165]}+{30.15:[0.0976951;-0.117234;0.788607]}+{30.25:[0.104716;-0.125599;0.841048]}+],
28.866,0.00702897,-0.00923247,0.111589,0.00641754,-0.0084851,0.106868,0.0684584,-0.0819793,0.426444,0.0610055,-0.0745046,0.428939,1000,0,1.5,0,0,0,0,[{28.959:[0.0132634;-0.016683;0.149513]}+{29.059:[0.0201092;-0.024881;0.192157]}+{29.159:[0.0269551;-0.0330789;0.234802]}+{29.259:[0.0338009;-0.0412768;0.277446]}+{29.359:[0.0406468;-0.0494747;0.32009]}+{29.459:[0.0474926;-0.0576727;0.362735]}+{29.559:[0.0543385;-0.0658706;0.405379]}+{29.659:[0.0611843;-0.0740685;0.448024]}+{29.759:[0.0680301;-0.0822664;0.490668]}+{29.859:[0.074876;-0.0904644;0.533312]}+{29.959:[0.0817218;-0.0986623;0.575957]}+{30.059:[0.0885677;-0.10686;0.618601]}+{30.159:[0.0954135;-0.115058;0.661246]}+{30.259:[0.102259;-0.123256;0.70389]}+],
28.87,0.00702897,-0.00923247,0.111589,0.00702897,-0.00923247,0.111589,0.0684584,-0.0819793,0.426444,0.0610055,-0.0745046,0.428939,1000,0,1.5,0,0,0,0,[{28.961:[0.0138748;-0.0174304;0.154233]}+{29.061:[0.0207207;-0.0256283;0.196877]}+{29.161:[0.0275665;-0.0338263;0.239522]}+{29.261:[0.0344123;-0.0420242;0.282166]}+{29.361:[0.0412582;-0.0502221;0.324811]}+{29.461:[0.048104;-0.05842;0.367455]}+{29.561:[0.0549499;-0.066618;0.410099]}+{29.661:[0.0617957;-0.0748159;0.452744]}+{29.761:[0.0686416;-0.0830138;0.495388]}+{29.861:[0.0754874;-0.0912117;0.538033]}+{29.961:[0.0823333;-0.0994097;0.580677]}+{30.061:[0.0891791;-0.107608;0.623321]}+{30.161:[0.0960249;-0.115806;0.665966]}+{30.261:[0.102871;-0.124003;0.70861]}+],
28.875,0.00702897,-0.00923247,0.111589,0.00702897,-0.00923247,0.111589,0.0777444,-0.0901133,0.564902,0.0678736,-0.0802185,0.567659,1000,0,1.5,0,0,0,0,[{28.97:[0.0148034;-0.0182438;0.168079]}+{29.07:[0.0225778;-0.0272551;0.224569]}+{29.17:[0.0303523;-0.0362665;0.281059]}+{29.27:[0.0381267;-0.0452778;0.337549]}+{29.37:[0.0459012;-0.0542891;0.394039]}+{29.47:[0.0536756;-0.0633004;0.45053]}+{29.57:[0.06145;-0.0723118;0.50702]}+{29.67:[0.0692245;-0.0813231;0.56351]}+{29.77:[0.0769989;-0.0903344;0.62]}+{29.87:[0.0847733;-0.0993458;0.67649]}+{29.97:[0.0925478;-0.108357;0.73298]}+{30.07:[0.100322;-0.117368;0.78947]}+{30.17:[0.108097;-0.12638;0.845961]}+{30.27:[0.115871;-0.135391;0.902451]}+],
28.882,0.00702897,-0.00923247,0.111589,0.00702897,-0.00923247,0.111589,0.0777444,-0.0901133,0.564902,0.0678736,-0.0802185,0.567659,1000,0,1.5,0,0,0,0,[{28.975:[0.0148034;-0.0182438;0.168079]}+{29.075:[0.0225778;-0.0272551;0.224569]}+{29.175:[0.0303523;-0.0362665;0.281059]}+{29.275:[0.0381267;-0.0452778;0.337549]}+{29.375:[0.0459012;-0.0542891;0.394039]}+{29.475:[0.0536756;-0.0633004;0.45053]}+{29.575:[0.06145;-0.0723118;0.50702]}+{29.675:[0.0692245;-0.0813231;0.56351]}+{29.775:[0.0769989;-0.0903344;0.62]}+{29.875:[0.0847733;-0.0993458;0.67649]}+{29.975:[0.0925478;-0.108357;0.73298]}+{30.075:[0.100322;-0.117368;0.78947]}+{30.175:[0.108097;-0.12638;0.845961]}+{30.275:[0.115871;-0.135391;0.902451]}+],
28.885,0.00835233,-0.0108049,0.121724,0.00702897,-0.00923247,0.111589,0.0760875,-0.0883579,0.466931,0.0679268,-0.0801735,0.469659,1000,0,1.5,0,0,0,0,[{28.98:[0.0146377;-0.0180683;0.158282]}+{29.08:[0.0222465;-0.0269041;0.204975]}+{29.18:[0.0298552;-0.0357399;0.251668]}+{29.28:[0.037464;-0.0445756;0.298361]}+{29.38:[0.0450727;-0.0534114;0.345054]}+{29.48:[0.0526815;-0.0622472;0.391747]}+{29.58:[0.0602902;-0.071083;0.43844]}+{29.68:[0.067899;-0.0799188;0.485134]}+{29.78:[0.0755077;-0.0887546;0.531827]}+{29.88:[0.0831164;-0.0975904;0.57852]}+{29.98:[0.0907252;-0.106426;0.625213]}+{30.08:[0.0983339;-0.115262;0.671906]}+{30.18:[0.105943;-0.124098;0.718599]}+{30.28:[0.113551;-0.132934;0.765292]}+],
28.89,0.00835233,-0.0108049,0.121724,0.00702897,-0.00923247,0.111589,0.0760875,-0.0883579,0.466931,0.0679268,-0.0801735,0.469659,1000,0,1.5,0,0,0,0,[{28.985:[0.0146377;-0.0180683;0.158282]}+{29.085:[0.0222465;-0.0269041;0.204975]}+{29.185:[0.0298552;-0.0357399;0.251668]}+{29.285:[0.037464;-0.0445756;0.298361]}+{29.385:[0.0450727;-0.0534114;0.345054]}+{29.485:[0.0526815;-0.0622472;0.391747]}+{29.585:[0.0602902;-0.071083;0.43844]}+{29.685:[0.067899;-0.0799188;0.485134]}+{29.785:[0.0755077;-0.0887546;0.531827]}+{29.885:[0.0831164;-0.0975904;0.57852]}+{29.985:[0.0907252;-0.106426;0.625213]}+{30.085:[0.0983339;-0.115262;0.671906]}+{30.185:[0.105943;-0.124098;0.718599]}+{30.285:[0.113551;-0.132934;0.765292]}+],
28.896,0.00835233,-0.0108049,0.121724,0.00835233,-0.0108049,0.121724,0.08455,-0.0953197,0.599352,0.074077,-0.0848209,0.602308,1000,0,1.5,0,0,0,0,[{28.99:[0.0168073;-0.0203369;0.181659]}+{29.09:[0.0252623;-0.0298689;0.241594]}+{29.19:[0.0337173;-0.0394008;0.301529]}+{29.29:[0.0421723;-0.0489328;0.361464]}+{29.39:[0.0506273;-0.0584648;0.4214]}+{29.49:[0.0590823;-0.0679967;0.481335]}+{29.59:[0.0675373;-0.0775287;0.54127]}+{29.69:[0.0759923;-0.0870607;0.601205]}+{29.79:[0.0844473;-0.0965926;0.66114]}+{29.89:[0.0929024;-0.106125;0.721076]}+{29.99:[0.101357;-0.115657;0.781011]}+{30.09:[0.109812;-0.125189;0.840946]}+{30.19:[0.118267;-0.134721;0.900881]}+{30.29:[0.126722;-0.144252;0.960816]}+],
28.9,0.00835233,-0.0108049,0.121724,0.00835233,-0.0108049,0.121724,0.08455,-0.0953197,0.599352,0.074077,-0.0848209,0.602308,1000,0,1.5,0,0,0,0,[{28.994:[0.0168073;-0.0203369;0.181659]}+{29.094:[0.0252623;-0.0298689;0.241594]}+{29.194:[0.0337173;-0.0394008;0.301529]}+{29.294:[0.0421723;-0.0489328;0.361464]}+{29.394:[0.0506273;-0.0584648;0.4214]}+{29.494:[0.0590823;-0.0679967;0.481335]}+{29.594:[0.0675373;-0.0775287;0.54127]}+{29.694:[0.0759923;-0.0870607;0.601205]}+{29.794:[0.0844473;-0.0965926;0.66114]}+{29.894:[0.0929024;-0.106125;0.721076]}+{29.994:[0.101357;-0.115657;0.781011]}+{30.094:[0.109812;-0.125189;0.840946]}+{30.194:[0.118267;-0.134721;0.900881]}+{30.294:[0.126722;-0.144252;0.960816]}+],
