Time;Objective;Position
1.941895;0.500000;-0.000011
2.147461;0.500000;0.122986
2.348145;0.500000;0.278844
2.553223;0.500000;0.441913
2.758301;0.500000;0.574665
2.962891;0.500000;0.620820
3.163086;0.500000;0.621811
3.363281;0.500000;0.611807
3.565918;0.500000;0.597383
3.768066;0.500000;0.581522
3.972168;0.500000;0.569846
4.177734;0.500000;0.559773
4.377930;0.500000;0.550007
4.583008;0.500000;0.542866
4.783203;0.500000;0.534017
4.987793;0.500000;0.531439
5.191895;0.500000;0.529373
5.394043;0.500000;0.524751
5.596191;0.500000;0.521446
5.796875;0.500000;0.514399
6.001953;0.500000;0.506719
6.202148;0.500000;0.506006
6.407227;0.500000;0.508166
6.607910;0.500000;0.511252
6.808105;0.500000;0.513064
7.008301;0.500000;0.512424
7.211914;0.500000;0.513896
7.413086;0.500000;0.512917
7.618164;0.500000;0.511346
7.823242;0.500000;0.510475
8.026855;0.500000;0.508274
8.227051;0.500000;0.504996
8.427734;0.500000;0.502294
8.633301;0.500000;0.497400
8.837891;0.500000;0.499752
9.041992;0.500000;0.502072
9.248047;0.500000;0.505814
9.458008;0.500000;0.507950
9.658203;0.500000;0.508221
9.863281;0.500000;0.505947
10.063477;0.500000;0.505152
10.268066;0.500000;0.506137
10.468262;0.500000;0.514518
10.669922;0.500000;0.520839
10.875977;0.500000;0.523622
11.076172;0.500000;0.525344
11.278320;0.500000;0.525374
11.482910;0.500000;0.530216
11.683105;0.500000;0.532738
11.888184;0.500000;0.532362
12.088379;0.500000;0.528628
12.292969;0.500000;0.525735
12.498047;0.500000;0.523544
12.698242;0.500000;0.521781
12.898438;0.500000;0.522060
13.103027;0.500000;0.522444
13.306641;0.500000;0.517670
13.512207;0.500000;0.514629
13.717773;0.500000;0.517135
13.917969;0.500000;0.517047
14.122070;0.500000;0.521635
14.323242;0.500000;0.527374
14.524902;0.500000;0.527818
14.727051;0.500000;0.525254
14.927734;0.500000;0.523531
15.127930;0.500000;0.525209
15.328125;0.500000;0.527410
15.531738;0.500000;0.533974
15.733398;0.500000;0.539743
15.937988;0.500000;0.538163
16.138184;0.500000;0.537334
16.342773;0.500000;0.523938
16.542969;0.500000;0.493941
16.748047;0.500000;0.458809
16.948242;0.500000;0.425767
17.152832;0.500000;0.395852
17.353027;0.500000;0.372842
17.562988;0.500000;0.353266
17.763184;0.500000;0.333789
17.968262;0.500000;0.319125
18.168457;0.500000;0.306589
18.371094;0.500000;0.296324
