1.06719;0.864828;0.787787;0.747167;0.559361;0.950693;0.935836;0.748384;0.740273;1458328498400919
1.15317;0.964023;0.7276;1.28115;0.964169;0.475457;0.920452;0.941736;0.852826;1458328498501204
1.1128;0.954902;0.83526;1.23846;0.630671;0.435836;0.636399;1.19962;1.75994;1458328498601394
1.21276;1.00541;0.78788;1.67;1.33674;0.430693;1.21364;1.00276;1.28293;1458328498701566
1.16285;0.930187;0.833438;1.1153;0.706278;1.08411;1.15673;0.718665;1.18464;1458328498801734
1.15214;0.968953;0.792546;1.26293;0.939314;1.2513;0.862969;1.04239;0.433844;1458328498901909
1.14542;0.965225;0.842242;0.914023;0.744229;1.21529;1.1045;1.17122;1.28109;1458328499002078
1.15669;0.942466;0.850246;1.49155;0.783282;1.55752;0.734155;0.717449;1.07504;1458328499102242
1.16349;0.938878;0.828396;1.28063;0.906779;1.39949;1.07941;0.527375;0.790355;1458328499302518
1.16126;0.958374;0.801966;1.02857;0.580811;0.927031;1.28239;1.32702;0.598468;1458328499402698
1.14591;0.954849;0.820881;1.17938;0.839822;1.25084;0.725425;0.965752;0.788282;1458328499502855
1.15831;0.979247;0.814681;1.33074;1.225;0.72762;0.937019;1.28031;1.12418;1458328499602985
1.16297;0.96301;0.799553;1.60378;1.16071;0.811205;0.799455;0.831636;0.580132;1458328499703115
1.16287;0.971882;0.802881;1.37341;0.952688;0.82402;1.02316;1.34159;0.686793;1458328499803263
