Time;Objective;Position
0.584473;0.500000;0.003304
0.785156;0.500000;0.171104
0.990234;0.500000;0.410167
1.194336;0.500000;0.666420
1.395508;0.500000;0.838521
1.600098;0.500000;0.953376
1.800293;0.500000;1.017169
2.004395;0.500000;1.039322
2.205566;0.500000;1.025367
2.410156;0.500000;0.979003
2.610352;0.500000;0.913098
2.814941;0.500000;0.830905
3.015137;0.500000;0.741407
3.220215;0.500000;0.642517
3.430176;0.500000;0.542174
3.635254;0.500000;0.455021
3.839355;0.500000;0.376877
4.040527;0.500000;0.310325
4.245117;0.500000;0.256806
4.445312;0.500000;0.218056
4.655273;0.500000;0.193492
4.855957;0.500000;0.185080
5.059082;0.500000;0.190470
5.259766;0.500000;0.210992
5.459961;0.500000;0.241733
5.660156;0.500000;0.284035
5.865234;0.500000;0.333939
6.065430;0.500000;0.384883
6.270020;0.500000;0.439979
6.474121;0.500000;0.493038
6.675293;0.500000;0.534576
6.875488;0.500000;0.566045
7.080078;0.500000;0.591178
7.285156;0.500000;0.607581
7.489258;0.500000;0.620290
7.689453;0.500000;0.625873
7.890137;0.500000;0.624660
8.090332;0.500000;0.617435
8.294922;0.500000;0.603954
8.495117;0.500000;0.590217
8.700195;0.500000;0.571122
8.900391;0.500000;0.550613
9.104004;0.500000;0.531757
9.305176;0.500000;0.516619
9.510254;0.500000;0.502353
9.710449;0.500000;0.490483
9.913086;0.500000;0.480870
10.115234;0.500000;0.473269
10.316895;0.500000;0.466639
10.520020;0.500000;0.461277
10.725098;0.500000;0.457717
10.934082;0.500000;0.457846
11.135254;0.500000;0.464164
11.335449;0.500000;0.472521
11.540039;0.500000;0.479486
11.740234;0.500000;0.482866
11.944336;0.500000;0.485139
12.146484;0.500000;0.486890
12.347168;0.500000;0.487152
12.550293;0.500000;0.488754
12.753906;0.500000;0.490352
12.955566;0.500000;0.490454
13.162109;0.500000;0.492160
13.364746;0.500000;0.495150
13.564941;0.500000;0.500364
13.767578;0.500000;0.506303
13.970215;0.500000;0.512984
14.170410;0.500000;0.518173
14.375000;0.500000;0.520095
14.578125;0.500000;0.509215
14.779297;0.500000;0.464053
14.980469;0.500000;0.396707
15.185059;0.500000;0.325150
