Time;Objective;Position
0.820312;0.500000;0.000003
1.022949;0.500000;-0.005374
1.223145;0.500000;0.003146
1.428223;0.500000;0.048663
1.628418;0.500000;0.120366
1.832031;0.500000;0.202635
2.032227;0.500000;0.284323
2.232910;0.500000;0.363019
2.433105;0.500000;0.446624
2.637207;0.500000;0.536514
2.845215;0.500000;0.627509
3.048340;0.500000;0.707506
3.248535;0.500000;0.776942
3.453125;0.500000;0.840548
3.656250;0.500000;0.892794
3.857910;0.500000;0.930709
4.058105;0.500000;0.957233
4.263184;0.500000;0.973202
4.463379;0.500000;0.979124
4.667969;0.500000;0.974468
4.870117;0.500000;0.961069
5.073242;0.500000;0.941809
5.273438;0.500000;0.916606
5.478027;0.500000;0.883510
5.687988;0.500000;0.840611
5.888184;0.500000;0.796012
6.088379;0.500000;0.749089
6.290039;0.500000;0.701629
6.492188;0.500000;0.656041
6.696289;0.500000;0.611656
6.897461;0.500000;0.567756
7.102051;0.500000;0.524658
7.303223;0.500000;0.485151
7.506348;0.500000;0.450285
7.707520;0.500000;0.418257
7.908203;0.500000;0.387271
8.112305;0.500000;0.360098
8.312988;0.500000;0.338041
8.513184;0.500000;0.321494
8.713379;0.500000;0.310347
8.916992;0.500000;0.303058
9.117188;0.500000;0.301366
9.317871;0.500000;0.305210
9.518066;0.500000;0.311351
9.722168;0.500000;0.319734
9.923340;0.500000;0.329013
10.138184;0.500000;0.339641
10.343262;0.500000;0.354189
10.548340;0.500000;0.371293
10.753418;0.500000;0.390703
10.957031;0.500000;0.412432
11.158203;0.500000;0.433503
11.358398;0.500000;0.452924
11.562012;0.500000;0.473905
11.762207;0.500000;0.490682
11.962891;0.500000;0.504211
12.168457;0.500000;0.520283
12.372070;0.500000;0.535512
12.577148;0.500000;0.547060
12.778320;0.500000;0.554170
12.978516;0.500000;0.563600
13.180176;0.500000;0.571129
13.383301;0.500000;0.556978
13.592285;0.500000;0.544414
13.807129;0.500000;0.540778
14.012207;0.500000;0.540319
14.213379;0.500000;0.539206
14.417969;0.500000;0.539243
14.623535;0.500000;0.537383
14.828125;0.500000;0.534745
15.033203;0.500000;0.534160
15.235352;0.500000;0.527814
15.437988;0.500000;0.523190
15.641113;0.500000;0.521433
15.851074;0.500000;0.518707
16.052734;0.500000;0.517864
16.252930;0.500000;0.518178
16.453125;0.500000;0.518830
16.658203;0.500000;0.515532
16.862305;0.500000;0.509474
17.068359;0.500000;0.509453
17.271973;0.500000;0.509281
17.473145;0.500000;0.506058
17.676758;0.500000;0.501336
17.876953;0.500000;0.496470
18.083008;0.500000;0.484736
18.283203;0.500000;0.471741
18.483398;0.500000;0.466812
18.687012;0.500000;0.466731
18.896973;0.500000;0.469684
19.098145;0.500000;0.473593
19.302246;0.500000;0.478966
19.503418;0.500000;0.483213
19.708008;0.500000;0.484762
19.913574;0.500000;0.487941
20.118164;0.500000;0.487413
20.318359;0.500000;0.478713
20.523438;0.500000;0.477312
20.723633;0.500000;0.482669
20.927246;0.500000;0.489011
21.128418;0.500000;0.493759
21.338379;0.500000;0.497797
21.541992;0.500000;0.499912
21.743164;0.500000;0.502608
21.947266;0.500000;0.502911
