Time;Objective;Position
0.430176;0.500000;0.000404
0.630371;0.500000;0.038642
0.834961;0.500000;0.120429
1.040039;0.500000;0.221977
1.245117;0.500000;0.333823
1.449219;0.500000;0.455148
1.652344;0.500000;0.592280
1.854980;0.500000;0.744093
2.055176;0.500000;0.883466
2.255371;0.500000;0.980540
2.460449;0.500000;1.014782
2.669922;0.500000;0.980338
2.870117;0.500000;0.899309
3.078125;0.500000;0.780634
3.279297;0.500000;0.661651
3.479980;0.500000;0.557547
3.684570;0.500000;0.464138
3.885254;0.500000;0.391405
4.089355;0.500000;0.345895
4.295410;0.500000;0.336522
4.499023;0.500000;0.359286
4.700195;0.500000;0.395391
4.903809;0.500000;0.436511
5.104980;0.500000;0.475358
5.314941;0.500000;0.512748
5.520020;0.500000;0.541456
5.720215;0.500000;0.560006
5.920410;0.500000;0.565346
6.125000;0.500000;0.560764
6.325195;0.500000;0.549445
6.530273;0.500000;0.534824
6.730469;0.500000;0.522050
6.935059;0.500000;0.513764
7.135254;0.500000;0.508136
7.345215;0.500000;0.502223
7.548828;0.500000;0.496511
7.754395;0.500000;0.491974
7.958984;0.500000;0.488796
8.160156;0.500000;0.487714
8.364258;0.500000;0.487747
8.564453;0.500000;0.486240
8.767090;0.500000;0.482926
8.970215;0.500000;0.480763
9.175293;0.500000;0.481946
9.375488;0.500000;0.488166
9.580078;0.500000;0.495043
9.780273;0.500000;0.499349
9.984863;0.500000;0.503570
10.185059;0.500000;0.509106
10.390137;0.500000;0.512435
10.590332;0.500000;0.513286
10.794922;0.500000;0.514133
10.995117;0.500000;0.515038
11.200195;0.500000;0.515711
11.404297;0.500000;0.517211
11.609375;0.500000;0.518773
11.814941;0.500000;0.519690
12.018066;0.500000;0.520437
12.225098;0.500000;0.516399
12.425293;0.500000;0.509412
12.639160;0.500000;0.502144
12.845215;0.500000;0.498776
13.048340;0.500000;0.496336
13.250000;0.500000;0.491721
13.450195;0.500000;0.486138
13.655273;0.500000;0.482614
13.859375;0.500000;0.481264
14.063965;0.500000;0.482723
14.264160;0.500000;0.485874
14.465332;0.500000;0.489170
14.665527;0.500000;0.492094
14.870117;0.500000;0.495348
15.070312;0.500000;0.499448
15.273926;0.500000;0.502337
15.475098;0.500000;0.501467
15.680176;0.500000;0.497832
15.880371;0.500000;0.494776
16.083984;0.500000;0.494716
16.284180;0.500000;0.498069
16.484863;0.500000;0.503514
16.685059;0.500000;0.506464
16.885254;0.500000;0.506457
17.090332;0.500000;0.506224
