Time;Objective;Position
0.820312;0.500000;0.000722
1.022949;0.500000;0.031083
1.223145;0.500000;0.087136
1.428223;0.500000;0.162854
1.628418;0.500000;0.247639
1.832031;0.500000;0.338412
2.032227;0.500000;0.424084
2.232910;0.500000;0.503052
2.433105;0.500000;0.581203
2.637207;0.500000;0.657737
2.845215;0.500000;0.730669
3.048340;0.500000;0.789764
3.248535;0.500000;0.831480
3.453125;0.500000;0.863387
3.656250;0.500000;0.885360
3.857910;0.500000;0.898147
4.058105;0.500000;0.900207
4.263184;0.500000;0.892010
4.463379;0.500000;0.876964
4.667969;0.500000;0.858097
4.870117;0.500000;0.834798
5.073242;0.500000;0.805487
5.273438;0.500000;0.771637
5.478027;0.500000;0.732541
5.687988;0.500000;0.691138
5.888184;0.500000;0.651859
6.088379;0.500000;0.612514
6.290039;0.500000;0.573562
6.492188;0.500000;0.535844
6.696289;0.500000;0.498465
6.897461;0.500000;0.472590
7.102051;0.500000;0.452058
7.303223;0.500000;0.428623
7.506348;0.500000;0.405694
7.707520;0.500000;0.387984
7.908203;0.500000;0.375011
8.112305;0.500000;0.365402
8.312988;0.500000;0.358574
8.513184;0.500000;0.356246
8.713379;0.500000;0.357467
8.916992;0.500000;0.360994
9.117188;0.500000;0.362209
9.317871;0.500000;0.366601
9.518066;0.500000;0.376516
9.722168;0.500000;0.388517
9.923340;0.500000;0.401639
10.138184;0.500000;0.416903
10.343262;0.500000;0.429501
10.548340;0.500000;0.444347
10.753418;0.500000;0.459303
10.957031;0.500000;0.471452
11.158203;0.500000;0.482692
11.358398;0.500000;0.495074
11.562012;0.500000;0.506440
11.762207;0.500000;0.515550
11.962891;0.500000;0.523739
12.168457;0.500000;0.533218
12.372070;0.500000;0.541374
12.577148;0.500000;0.547426
12.778320;0.500000;0.550509
12.978516;0.500000;0.549550
13.180176;0.500000;0.548214
13.383301;0.500000;0.536345
13.592285;0.500000;0.526191
13.807129;0.500000;0.526999
14.012207;0.500000;0.531217
14.213379;0.500000;0.533979
14.417969;0.500000;0.536534
14.623535;0.500000;0.535431
14.828125;0.500000;0.531949
15.033203;0.500000;0.526727
15.235352;0.500000;0.522037
15.437988;0.500000;0.517451
15.641113;0.500000;0.514660
15.851074;0.500000;0.513242
16.052734;0.500000;0.511282
16.252930;0.500000;0.510815
16.453125;0.500000;0.508149
16.658203;0.500000;0.504428
16.862305;0.500000;0.503568
17.068359;0.500000;0.500334
17.271973;0.500000;0.496007
17.473145;0.500000;0.491741
17.676758;0.500000;0.483513
17.876953;0.500000;0.475333
18.083008;0.500000;0.469277
18.283203;0.500000;0.465308
18.483398;0.500000;0.464153
18.687012;0.500000;0.465301
18.896973;0.500000;0.467760
19.098145;0.500000;0.471223
19.302246;0.500000;0.473212
19.503418;0.500000;0.474944
19.708008;0.500000;0.476711
19.913574;0.500000;0.479242
20.118164;0.500000;0.482702
20.318359;0.500000;0.483425
20.523438;0.500000;0.489036
20.723633;0.500000;0.496560
20.927246;0.500000;0.502125
21.128418;0.500000;0.506539
21.338379;0.500000;0.512859
21.541992;0.500000;0.516634
21.743164;0.500000;0.518675
21.947266;0.500000;0.518142
