Time;Objective;Position
1.941895;0.500000;0.000002
2.147461;0.500000;0.034717
2.348145;0.500000;0.089762
2.553223;0.500000;0.139394
2.758301;0.500000;0.182566
2.962891;0.500000;0.222021
3.163086;0.500000;0.257795
3.363281;0.500000;0.289396
3.565918;0.500000;0.316857
3.768066;0.500000;0.340399
3.972168;0.500000;0.360500
4.177734;0.500000;0.379729
4.377930;0.500000;0.397999
4.583008;0.500000;0.413605
4.783203;0.500000;0.424428
4.987793;0.500000;0.434958
5.191895;0.500000;0.445005
5.394043;0.500000;0.453196
5.596191;0.500000;0.460877
5.796875;0.500000;0.464655
6.001953;0.500000;0.468277
6.202148;0.500000;0.470383
6.407227;0.500000;0.470913
6.607910;0.500000;0.469966
6.808105;0.500000;0.470835
7.008301;0.500000;0.473760
7.211914;0.500000;0.473399
7.413086;0.500000;0.471500
7.618164;0.500000;0.473534
7.823242;0.500000;0.478497
8.026855;0.500000;0.481749
8.227051;0.500000;0.481953
8.427734;0.500000;0.484227
8.633301;0.500000;0.485966
8.837891;0.500000;0.485284
9.041992;0.500000;0.487178
9.248047;0.500000;0.491282
9.458008;0.500000;0.490901
9.658203;0.500000;0.490844
9.863281;0.500000;0.492309
10.063477;0.500000;0.494161
10.268066;0.500000;0.494789
10.468262;0.500000;0.495443
10.669922;0.500000;0.494004
10.875977;0.500000;0.489909
11.076172;0.500000;0.485744
11.278320;0.500000;0.479290
11.482910;0.500000;0.477465
11.683105;0.500000;0.479142
11.888184;0.500000;0.480645
12.088379;0.500000;0.479219
12.292969;0.500000;0.478787
12.498047;0.500000;0.479136
12.698242;0.500000;0.477980
12.898438;0.500000;0.481514
13.103027;0.500000;0.483625
13.306641;0.500000;0.483299
13.512207;0.500000;0.484551
13.717773;0.500000;0.485538
13.917969;0.500000;0.486557
14.122070;0.500000;0.486453
14.323242;0.500000;0.487259
14.524902;0.500000;0.488579
14.727051;0.500000;0.489170
14.927734;0.500000;0.489408
15.127930;0.500000;0.489227
15.328125;0.500000;0.490107
15.531738;0.500000;0.492261
15.733398;0.500000;0.493868
15.937988;0.500000;0.495325
16.138184;0.500000;0.496641
16.342773;0.500000;0.497530
16.542969;0.500000;0.497437
16.748047;0.500000;0.498703
16.948242;0.500000;0.499004
17.152832;0.500000;0.497883
17.353027;0.500000;0.499209
17.562988;0.500000;0.501909
17.763184;0.500000;0.501448
17.968262;0.500000;0.500483
18.168457;0.500000;0.501602
18.371094;0.500000;0.503495
