-0.168665;-0.428516;0.893800;-0.000803;-0.002040;0.504000;0.052360;0.000000;-1.640609
-0.145174;-0.397599;0.907290;-0.001565;-0.004127;0.509000;0.052360;0.000000;-1.640609
-0.124819;-0.369391;0.920239;-0.002190;-0.005976;0.513000;0.052360;0.000000;-1.640609
-0.106680;-0.343962;0.932584;-0.002737;-0.007739;0.518000;0.052360;0.000000;-1.640609
-0.091070;-0.308291;0.944415;-0.003204;-0.009320;0.523000;0.052360;0.000000;-1.640609
-0.074853;-0.275629;0.934733;-0.003596;-0.010767;0.522000;0.052360;0.000000;-1.640609
-0.062952;-0.247374;0.947041;-0.003896;-0.011944;0.527000;0.052360;0.000000;-1.640609
-0.052459;-0.221632;0.947496;-0.004172;-0.013108;0.532000;0.052360;0.000000;-1.640609
-0.042831;-0.198152;0.959227;-0.004375;-0.014051;0.537000;0.052360;0.000000;-1.640609
-0.034889;-0.177259;0.980800;-0.004554;-0.014960;0.542000;0.052360;0.000000;-1.640609
-0.027541;-0.158196;0.991081;-0.004692;-0.015752;0.546000;0.052360;0.000000;-1.640609
-0.018839;-0.140769;0.991473;-0.004791;-0.016491;0.551000;0.052360;0.000000;-1.640609
-0.011975;-0.124826;1.001443;-0.004851;-0.017115;0.557000;0.052360;0.000000;-1.640609
-0.002216;-0.110593;0.983323;-0.004862;-0.017669;0.556000;0.052360;0.000000;-1.640609
-0.003567;-0.098880;0.993509;-0.004882;-0.018224;0.561000;0.052360;0.000000;-1.640609
-0.004715;-0.088391;0.993410;-0.004903;-0.018612;0.566000;0.052360;0.000000;-1.640609
-0.006873;-0.079437;1.012596;-0.004937;-0.019010;0.571000;0.052360;0.000000;-1.640609
-0.020447;-0.076331;1.020927;-0.005045;-0.019411;0.576000;0.052360;0.000000;-1.640609
-0.034122;-0.091808;1.027459;-0.005215;-0.019870;0.581000;0.052360;0.017453;-1.640609
-0.045553;-0.089645;1.035238;-0.005449;-0.020330;0.586000;0.052360;0.017453;-1.640609
-0.074663;-0.086526;1.041627;-0.005813;-0.020752;0.591000;0.069813;0.017453;-1.640609
-0.085151;-0.079361;1.040973;-0.006302;-0.021208;0.589000;0.069813;0.017453;-1.640609
-0.095294;-0.072847;0.993844;-0.006779;-0.021572;0.594000;0.069813;0.017453;-1.640609
-0.109116;-0.068411;1.011884;-0.007285;-0.021890;0.600000;0.069813;0.017453;-1.640609
-0.115700;-0.066678;1.011438;-0.007878;-0.022231;0.605000;0.069813;0.017453;-1.640609
-0.122648;-0.065488;1.019775;-0.008477;-0.022551;0.610000;0.069813;0.017453;-1.640609
-0.128882;-0.064798;1.024933;-0.009122;-0.022875;0.615000;0.069813;0.017453;-1.640609
-0.139005;-0.065787;1.021854;-0.009818;-0.023205;0.620000;0.069813;0.017453;-1.640609
-0.148505;-0.067376;1.021160;-0.010579;-0.023550;0.625000;0.069813;0.017453;-1.640609
-0.146050;-0.066190;0.947652;-0.011310;-0.023881;0.623000;0.069813;0.017453;-1.640609
-0.172226;-0.067869;0.936345;-0.012214;-0.024238;0.628000;0.087266;0.017453;-1.640609
-0.182163;-0.086966;0.933941;-0.013104;-0.024662;0.633000;0.087266;0.034907;-1.640609
-0.188057;-0.088577;0.911939;-0.014045;-0.025106;0.637000;0.087266;0.034907;-1.640609
-0.197564;-0.128432;0.909941;-0.015058;-0.025764;0.642000;0.087266;0.034907;-1.640609
-0.204186;-0.163066;0.895402;-0.016055;-0.026560;0.646000;0.087266;0.034907;-1.640609
-0.209189;-0.194042;0.879765;-0.017153;-0.027579;0.651000;0.087266;0.034907;-1.640609
-0.207185;-0.183388;0.864778;-0.018190;-0.028497;0.655000;0.087266;0.034907;-1.640609
-0.183970;-0.172336;0.807626;-0.019178;-0.029422;0.656000;0.069813;0.034907;-1.640609
-0.180869;-0.163314;0.791157;-0.020083;-0.030240;0.660000;0.069813;0.034907;-1.640609
-0.178451;-0.154845;0.791586;-0.020933;-0.030977;0.664000;0.069813;0.034907;-1.640609
-0.151164;-0.145301;0.758337;-0.021671;-0.031686;0.668000;0.069813;0.034907;-1.640609
-0.128321;-0.136808;0.760241;-0.022329;-0.032388;0.672000;0.069813;0.034907;-1.640609
-0.104816;-0.115398;0.745961;-0.022879;-0.032993;0.675000;0.069813;0.017453;-1.640609
-0.059542;-0.103036;0.730632;-0.023177;-0.033509;0.679000;0.069813;0.017453;-1.640609
-0.004805;-0.091872;0.696333;-0.023200;-0.033958;0.682000;0.052360;0.017453;-1.640609
0.031323;-0.081879;0.698404;-0.023036;-0.034387;0.687000;0.052360;0.017453;-1.640609
0.068762;-0.076469;0.688340;-0.022683;-0.034780;0.690000;0.052360;0.017453;-1.640609
0.104410;-0.070932;0.651496;-0.022174;-0.035126;0.693000;0.052360;0.017453;-1.640609
0.135967;-0.066047;0.633967;-0.021510;-0.035448;0.696000;0.052360;0.017453;-1.640609
0.179097;-0.017542;0.614376;-0.020570;-0.035540;0.699000;0.034907;0.017453;-1.640609
0.208427;0.026761;0.597271;-0.019501;-0.035403;0.702000;0.034907;0.017453;-1.640609
0.235314;0.076939;0.578722;-0.018323;-0.035018;0.705000;0.034907;0.000000;-1.640609
0.258961;0.112871;0.561193;-0.017059;-0.034467;0.708000;0.034907;0.000000;-1.640609
0.280566;0.144948;0.561867;-0.015552;-0.033689;0.715000;0.034907;0.000000;-1.640609
0.301146;0.174686;0.581014;-0.014081;-0.032836;0.718000;0.034907;0.000000;-1.640609
0.314464;0.157569;0.542788;-0.012469;-0.032028;0.720000;0.034907;0.000000;-1.640609
