Time;Objective;Position
0.513672;0.500000;0.001107
0.716309;0.500000;0.043545
0.919922;0.500000;0.129277
1.121094;0.500000;0.220197
1.325684;0.500000;0.315009
1.525879;0.500000;0.404089
1.730957;0.500000;0.488987
1.931152;0.500000;0.563094
2.135742;0.500000;0.631847
2.335938;0.500000;0.691558
2.540039;0.500000;0.740417
2.745605;0.500000;0.776927
2.945801;0.500000;0.800636
3.150879;0.500000;0.814311
3.364746;0.500000;0.818877
3.570801;0.500000;0.813600
3.775879;0.500000;0.802223
3.976074;0.500000;0.783277
4.179688;0.500000;0.754862
4.380859;0.500000;0.722070
4.585938;0.500000;0.685822
4.786133;0.500000;0.648982
4.989746;0.500000;0.614664
5.190918;0.500000;0.581586
5.395996;0.500000;0.546701
5.600098;0.500000;0.513267
5.805664;0.500000;0.483835
6.009766;0.500000;0.458479
6.209961;0.500000;0.437676
6.410156;0.500000;0.420857
6.615723;0.500000;0.408875
6.815918;0.500000;0.399617
7.017578;0.500000;0.394446
7.223145;0.500000;0.393626
7.425781;0.500000;0.395720
7.630371;0.500000;0.400220
7.831055;0.500000;0.407212
8.035645;0.500000;0.414058
8.237793;0.500000;0.423483
8.438965;0.500000;0.434315
8.639648;0.500000;0.444241
8.839844;0.500000;0.454836
9.040527;0.500000;0.466269
9.244141;0.500000;0.478229
9.451660;0.500000;0.490188
9.655273;0.500000;0.493317
9.859863;0.500000;0.499166
10.068848;0.500000;0.508148
10.270996;0.500000;0.513955
10.474609;0.500000;0.519587
10.676270;0.500000;0.526752
10.880859;0.500000;0.531999
11.081055;0.500000;0.534442
11.285645;0.500000;0.537138
11.490234;0.500000;0.540257
11.692871;0.500000;0.542331
11.898926;0.500000;0.540286
12.100098;0.500000;0.540441
12.304688;0.500000;0.540966
12.511230;0.500000;0.537157
12.714844;0.500000;0.530147
12.916016;0.500000;0.523966
13.118652;0.500000;0.518704
13.329590;0.500000;0.511354
13.530762;0.500000;0.503980
13.730957;0.500000;0.503030
13.935059;0.500000;0.502894
14.136230;0.500000;0.499276
14.340820;0.500000;0.496442
14.544922;0.500000;0.496589
14.750000;0.500000;0.494120
14.950684;0.500000;0.488929
15.154785;0.500000;0.488230
15.355957;0.500000;0.492803
15.556152;0.500000;0.493077
15.756348;0.500000;0.488324
15.960938;0.500000;0.485120
16.161133;0.500000;0.486806
