Time;Objective;Position
0.663086;0.500000;-0.000566
0.863281;0.500000;0.004727
1.068359;0.500000;0.070723
1.268555;0.500000;0.145513
1.476074;0.500000;0.224082
1.677246;0.500000;0.294712
1.883301;0.500000;0.364042
2.083496;0.500000;0.430070
2.288086;0.500000;0.490631
2.488281;0.500000;0.546991
2.693359;0.500000;0.601004
2.897949;0.500000;0.650001
3.100098;0.500000;0.695079
3.303223;0.500000;0.736844
3.503418;0.500000;0.769915
3.711914;0.500000;0.797685
3.913574;0.500000;0.820532
4.125488;0.500000;0.839924
4.328125;0.500000;0.854310
4.528320;0.500000;0.864434
4.728516;0.500000;0.867984
4.933105;0.500000;0.864047
5.133301;0.500000;0.854059
5.338379;0.500000;0.841328
5.538574;0.500000;0.826118
5.748535;0.500000;0.804383
5.953125;0.500000;0.777645
6.153320;0.500000;0.748989
6.353516;0.500000;0.717884
6.558105;0.500000;0.685774
6.761230;0.500000;0.649179
6.963379;0.500000;0.613257
7.163574;0.500000;0.582538
7.364258;0.500000;0.553441
7.568359;0.500000;0.524190
7.772461;0.500000;0.497089
7.973633;0.500000;0.471570
8.183594;0.500000;0.445204
8.385254;0.500000;0.425661
8.587402;0.500000;0.406930
8.788086;0.500000;0.389154
8.992188;0.500000;0.371519
9.192871;0.500000;0.356422
9.398438;0.500000;0.344491
9.603027;0.500000;0.335866
9.808594;0.500000;0.329472
10.013184;0.500000;0.325099
10.217285;0.500000;0.324074
10.418457;0.500000;0.326024
10.618652;0.500000;0.330577
10.823242;0.500000;0.336724
11.028320;0.500000;0.343729
11.229492;0.500000;0.354925
11.433105;0.500000;0.367155
11.637207;0.500000;0.379702
11.848145;0.500000;0.392993
12.048340;0.500000;0.408097
12.253418;0.500000;0.425298
12.453613;0.500000;0.441957
12.658203;0.500000;0.459532
12.859863;0.500000;0.477784
13.063477;0.500000;0.494385
13.263672;0.500000;0.508430
13.467285;0.500000;0.522784
13.668457;0.500000;0.532058
13.871094;0.500000;0.541491
14.076172;0.500000;0.549684
14.278320;0.500000;0.555761
14.482910;0.500000;0.562001
14.687500;0.500000;0.570071
14.890137;0.500000;0.577877
15.090332;0.500000;0.581654
15.291992;0.500000;0.577630
15.493164;0.500000;0.573753
15.693359;0.500000;0.570984
15.898438;0.500000;0.566293
16.102539;0.500000;0.558595
16.303223;0.500000;0.548718
16.507812;0.500000;0.538505
16.708008;0.500000;0.528906
16.908203;0.500000;0.520361
17.113281;0.500000;0.512329
17.318848;0.500000;0.505244
17.523438;0.500000;0.498621
17.723633;0.500000;0.497478
17.928223;0.500000;0.496045
18.128418;0.500000;0.491355
18.332520;0.500000;0.484974
18.538086;0.500000;0.479242
18.743652;0.500000;0.469693
18.948242;0.500000;0.461104
19.148438;0.500000;0.454318
19.350098;0.500000;0.449437
19.552246;0.500000;0.446909
19.752930;0.500000;0.445477
19.974121;0.500000;0.448242
20.175293;0.500000;0.456443
20.378418;0.500000;0.463548
20.583008;0.500000;0.470561
20.783203;0.500000;0.475086
20.983398;0.500000;0.474551
21.187988;0.500000;0.475610
21.391602;0.500000;0.481343
21.593262;0.500000;0.489547
21.797363;0.500000;0.496133
21.998047;0.500000;0.499907
22.201660;0.500000;0.503451
22.403320;0.500000;0.503479
22.603516;0.500000;0.502362
22.807129;0.500000;0.503193
23.007324;0.500000;0.508714
23.212402;0.500000;0.515179
23.413574;0.500000;0.523057
23.636230;0.500000;0.527330
23.838379;0.500000;0.528218
