Time;Objective;Position
1.019531;0.500000;-0.000464
1.219727;0.500000;-0.023416
1.424805;0.500000;-0.051189
1.627930;0.500000;-0.068642
1.829590;0.500000;-0.073810
2.033203;0.500000;-0.072263
2.238770;0.500000;-0.064650
2.442383;0.500000;-0.051901
2.643555;0.500000;-0.036125
2.849609;0.500000;-0.014485
3.054688;0.500000;0.014781
3.258789;0.500000;0.050933
3.458984;0.500000;0.090578
3.663574;0.500000;0.132512
3.864746;0.500000;0.175501
4.074707;0.500000;0.221649
4.277344;0.500000;0.268064
4.479980;0.500000;0.316644
4.681641;0.500000;0.367594
4.883789;0.500000;0.421253
5.083984;0.500000;0.475350
5.284668;0.500000;0.524954
5.484863;0.500000;0.568565
5.689453;0.500000;0.610673
5.889648;0.500000;0.652742
6.093750;0.500000;0.693322
6.298828;0.500000;0.731459
6.499512;0.500000;0.766906
6.702637;0.500000;0.800949
6.904785;0.500000;0.833535
7.108887;0.500000;0.865793
7.314941;0.500000;0.896598
7.518555;0.500000;0.926472
7.723633;0.500000;0.952850
7.924316;0.500000;0.976148
8.125488;0.500000;0.998830
8.328613;0.500000;1.018868
8.529785;0.500000;1.035441
8.734375;0.500000;1.049340
8.938965;0.500000;1.066042
9.144531;0.500000;1.081282
9.344727;0.500000;1.093775
9.549805;0.500000;1.104508
9.752930;0.500000;1.110147
9.954590;0.500000;1.113226
10.154785;0.500000;1.114074
10.364746;0.500000;1.110111
10.566895;0.500000;1.101821
10.770508;0.500000;1.090991
10.974609;0.500000;1.081503
11.174805;0.500000;1.069309
11.376953;0.500000;1.051200
11.579590;0.500000;1.030283
11.779785;0.500000;1.006290
11.984863;0.500000;0.982219
12.185059;0.500000;0.958771
12.389648;0.500000;0.932317
12.591797;0.500000;0.905334
12.794434;0.500000;0.877966
12.994629;0.500000;0.848277
13.199707;0.500000;0.813222
13.399902;0.500000;0.777014
13.604492;0.500000;0.739980
13.804688;0.500000;0.702727
14.009766;0.500000;0.666174
14.209961;0.500000;0.630193
14.414551;0.500000;0.589279
14.614746;0.500000;0.549904
14.816406;0.500000;0.512044
15.020020;0.500000;0.473901
15.224609;0.500000;0.437041
15.434570;0.500000;0.404162
15.638672;0.500000;0.376656
15.839355;0.500000;0.352921
16.048828;0.500000;0.328345
16.253906;0.500000;0.301445
16.455078;0.500000;0.273976
16.659668;0.500000;0.249968
16.859863;0.500000;0.228966
17.063477;0.500000;0.211738
17.265137;0.500000;0.196201
17.468750;0.500000;0.182275
17.669922;0.500000;0.168915
17.874512;0.500000;0.155924
18.074707;0.500000;0.144036
18.279785;0.500000;0.132733
18.481934;0.500000;0.123166
18.684570;0.500000;0.112201
18.894531;0.500000;0.103385
19.094727;0.500000;0.097423
19.304688;0.500000;0.090892
19.508301;0.500000;0.086663
19.709961;0.500000;0.086783
19.913574;0.500000;0.087954
20.113770;0.500000;0.091055
20.314941;0.500000;0.096736
