time, tf_x, tf_y, tf_z, loc_x, loc_y, loc_z, vel_x, vel_y, vel_z, velr_x, velr_y, velr_z, traj
31.72,-0.10426,-1.27718,2.08048,-0.122465,-1.27728,1.99644,0.102383,-0.961181,-0.00207123,0.102248,-0.961181,-0.00564309,[[31.815:[-0.112227;-1.37339;1.99623]]+[31.915:[-0.101989;-1.46951;1.99603]]+[32.015:[-0.0917502;-1.56563;1.99582]]+[32.115:[-0.0815119;-1.66175;1.99561]]+[32.215:[-0.0712736;-1.75787;1.99541]]+[32.315:[-0.0610353;-1.85398;1.9952]]+[32.415:[-0.050797;-1.9501;1.99499]]+[32.515:[-0.0405587;-2.04622;1.99478]]+[32.615:[-0.0303203;-2.14234;1.99458]]+],
31.82,-0.0955692,-1.3638,2.08185,-0.114167,-1.37367,1.99804,0.074974,-0.965788,0.0078797,0.0583468,-0.96695,0.00584699,[[31.915:[-0.10667;-1.47025;1.99883]]+[32.015:[-0.0991726;-1.56683;1.99962]]+[32.115:[-0.0916752;-1.6634;2.0004]]+[32.215:[-0.0841778;-1.75998;2.00119]]+[32.315:[-0.0766804;-1.85656;2.00198]]+[32.415:[-0.069183;-1.95314;2.00277]]+[32.515:[-0.0616856;-2.04972;2.00356]]+[32.615:[-0.0541882;-2.1463;2.00434]]+[32.715:[-0.0466908;-2.24288;2.00513]]+],
31.921,-0.0894304,-1.46059,2.08276,-0.108644,-1.47443,1.99924,0.0378141,-0.971762,0.00377523,0.0209114,-0.972274,0.00341079,[[32.019:[-0.104863;-1.5716;1.99962]]+[32.119:[-0.101082;-1.66878;2]]+[32.219:[-0.0973003;-1.76596;2.00037]]+[32.319:[-0.0935189;-1.86313;2.00075]]+[32.419:[-0.0897375;-1.96031;2.00113]]+[32.519:[-0.0859561;-2.05748;2.00151]]+[32.619:[-0.0821746;-2.15466;2.00188]]+[32.719:[-0.0783932;-2.25184;2.00226]]+[32.819:[-0.0746118;-2.34901;2.00264]]+],
32.02,-0.0861397,-1.568,2.08366,-0.1064,-1.56829,2.00009,0.0147314,-0.980764,0.000581757,-0.00237698,-0.980872,0.000623336,[[32.115:[-0.104927;-1.66637;2.00015]]+[32.215:[-0.103454;-1.76444;2.00021]]+[32.315:[-0.101981;-1.86252;2.00027]]+[32.415:[-0.100508;-1.9606;2.00032]]+[32.515:[-0.0990345;-2.05867;2.00038]]+[32.615:[-0.0975614;-2.15675;2.00044]]+[32.715:[-0.0960882;-2.25483;2.0005]]+[32.815:[-0.0946151;-2.3529;2.00056]]+[32.915:[-0.093142;-2.45098;2.00061]]+],
32.122,-0.0850017,-1.65635,2.08481,-0.10556,-1.6704,2.00147,0.0047675,-0.982859,0.0120997,-0.0123865,-0.982793,0.0120997,[[32.219:[-0.105083;-1.76869;2.00268]]+[32.319:[-0.104606;-1.86697;2.00389]]+[32.419:[-0.10413;-1.96526;2.0051]]+[32.519:[-0.103653;-2.06354;2.00631]]+[32.619:[-0.103176;-2.16183;2.00752]]+[32.719:[-0.102699;-2.26012;2.00873]]+[32.819:[-0.102223;-2.3584;2.00994]]+[32.919:[-0.101746;-2.45669;2.01115]]+[33.019:[-0.101269;-2.55497;2.01236]]+],
32.22,-0.084207,-1.7547,2.08569,-0.105064,-1.76978,2.00248,0.00498516,-0.984856,0.00514179,-0.0122037,-0.984793,0.00514179,[[32.32:[-0.104565;-1.86827;2.00299]]+[32.42:[-0.104067;-1.96675;2.00351]]+[32.52:[-0.103568;-2.06524;2.00402]]+[32.62:[-0.10307;-2.16373;2.00454]]+[32.72:[-0.102571;-2.26221;2.00505]]+[32.82:[-0.102073;-2.3607;2.00556]]+[32.92:[-0.101574;-2.45918;2.00608]]+[33.02:[-0.101076;-2.55767;2.00659]]+[33.12:[-0.100577;-2.65615;2.00711]]+],
32.32,-0.0834443,-1.863,2.08754,-0.10466,-1.86231,2.00425,0.00325517,-0.984838,0.0256402,-0.0139331,-0.984745,0.0256402,[[32.414:[-0.104334;-1.9608;2.00681]]+[32.514:[-0.104009;-2.05928;2.00938]]+[32.614:[-0.103683;-2.15776;2.01194]]+[32.714:[-0.103358;-2.25625;2.0145]]+[32.814:[-0.103032;-2.35473;2.01707]]+[32.914:[-0.102707;-2.45322;2.01963]]+[33.014:[-0.102381;-2.5517;2.0222]]+[33.114:[-0.102056;-2.65018;2.02476]]+[33.214:[-0.10173;-2.74867;2.02732]]+],
32.42,-0.0826816,-1.95144,2.08944,-0.104201,-1.96641,2.00676,0.0052679,-0.978775,0.0395371,-0.0118149,-0.978718,0.0395371,[[32.52:[-0.103674;-2.06429;2.01072]]+[32.62:[-0.103147;-2.16217;2.01467]]+[32.72:[-0.10262;-2.26005;2.01862]]+[32.82:[-0.102094;-2.35792;2.02258]]+[32.92:[-0.101567;-2.4558;2.02653]]+[33.02:[-0.10104;-2.55368;2.03048]]+[33.12:[-0.100513;-2.65156;2.03444]]+[33.22:[-0.0999865;-2.74943;2.03839]]+[33.32:[-0.0994597;-2.84731;2.04235]]+],
32.52,-0.0815276,-2.05908,2.09251,-0.103732,-2.0584,2.00916,0.00523923,-0.979988,0.028609,-0.0118647,-0.97993,0.028609,[[32.614:[-0.103208;-2.1564;2.01202]]+[32.714:[-0.102684;-2.25439;2.01488]]+[32.814:[-0.102161;-2.35239;2.01774]]+[32.914:[-0.101637;-2.45039;2.0206]]+[33.014:[-0.101113;-2.54839;2.02346]]+[33.114:[-0.100589;-2.64639;2.02632]]+[33.214:[-0.100065;-2.74439;2.02918]]+[33.314:[-0.099541;-2.84239;2.03204]]+[33.414:[-0.099017;-2.94039;2.0349]]+],
32.62,-0.0804319,-2.14773,2.09516,-0.103217,-2.15799,2.01175,0.00473666,-0.992512,0.0137477,-0.0125858,-0.992443,0.0137477,[[32.715:[-0.102744;-2.25724;2.01313]]+[32.815:[-0.10227;-2.35649;2.0145]]+[32.915:[-0.101796;-2.45574;2.01588]]+[33.015:[-0.101323;-2.555;2.01725]]+[33.115:[-0.100849;-2.65425;2.01863]]+[33.215:[-0.100375;-2.7535;2.02]]+[33.315:[-0.0999018;-2.85275;2.02138]]+[33.415:[-0.0994281;-2.952;2.02275]]+[33.515:[-0.0989545;-3.05125;2.02413]]+],
