time, tf_x, tf_y, tf_z, loc_x, loc_y, loc_z, vel_x, vel_y, vel_z, velr_x, velr_y, velr_z, traj
19.058,0.0770887,0.0314925,0.977095,0.0777427,0.0309726,0.935169,-0.0154581,-0.017538,-0.011705,-0.0135402,-0.0190577,-0.011705,[{19.155:[0.0761969;0.0292188;0.933998]}+{19.255:[0.0746511;0.027465;0.932828]}+{19.355:[0.0731053;0.0257112;0.931657]}+{19.455:[0.0715595;0.0239574;0.930487]}+{19.555:[0.0700137;0.0222036;0.929316]}+{19.655:[0.0684679;0.0204498;0.928146]}+{19.755:[0.0669221;0.018696;0.926975]}+{19.855:[0.0653763;0.0169422;0.925805]}+{19.955:[0.0638304;0.0151884;0.924634]}+],
19.058,0.0770887,0.0314925,0.977095,0.0777427,0.0309726,0.935169,-0.0154581,-0.017538,-0.011705,-0.0135402,-0.0190577,-0.011705,[{19.155:[0.0761969;0.0292188;0.933998]}+{19.255:[0.0746511;0.027465;0.932828]}+{19.355:[0.0731053;0.0257112;0.931657]}+{19.455:[0.0715595;0.0239574;0.930487]}+{19.555:[0.0700137;0.0222036;0.929316]}+{19.655:[0.0684679;0.0204498;0.928146]}+{19.755:[0.0669221;0.018696;0.926975]}+{19.855:[0.0653763;0.0169422;0.925805]}+{19.955:[0.0638304;0.0151884;0.924634]}+],
19.158,0.0755768,0.029883,0.975647,0.0760287,0.0291321,0.933604,-0.0196903,-0.0205957,-0.0029338,-0.0174296,-0.0225411,-0.0029338,[{19.254:[0.0740597;0.0270725;0.93331]}+{19.354:[0.0720907;0.025013;0.933017]}+{19.454:[0.0701216;0.0229534;0.932724]}+{19.554:[0.0681526;0.0208938;0.93243]}+{19.654:[0.0661836;0.0188342;0.932137]}+{19.754:[0.0642145;0.0167747;0.931843]}+{19.854:[0.0622455;0.0147151;0.93155]}+{19.954:[0.0602765;0.0126555;0.931257]}+{20.054:[0.0583074;0.0105959;0.930963]}+],
19.258,0.0732446,0.027296,0.974645,0.0741222,0.0269078,0.932588,-0.0175117,-0.0235614,0.001259,-0.0149529,-0.0252628,0.001259,[{19.354:[0.072371;0.0245517;0.932713]}+{19.454:[0.0706199;0.0221955;0.932839]}+{19.554:[0.0688687;0.0198394;0.932965]}+{19.654:[0.0671175;0.0174832;0.933091]}+{19.754:[0.0653664;0.0151271;0.933217]}+{19.854:[0.0636152;0.0127709;0.933343]}+{19.954:[0.061864;0.0104148;0.933469]}+{20.054:[0.0601128;0.00805865;0.933595]}+{20.154:[0.0583617;0.00570251;0.933721]}+],
19.36,0.0718466,0.025164,0.973302,0.072628,0.0244884,0.931173,-0.0126,-0.0269626,-0.0132968,-0.00971265,-0.0281319,-0.0132968,[{19.454:[0.071368;0.0217922;0.929844]}+{19.554:[0.070108;0.0190959;0.928514]}+{19.654:[0.068848;0.0163996;0.927184]}+{19.754:[0.0675879;0.0137034;0.925855]}+{19.854:[0.066328;0.0110071;0.924525]}+{19.954:[0.0650679;0.00831088;0.923195]}+{20.054:[0.0638079;0.00561462;0.921866]}+{20.154:[0.0625479;0.00291836;0.920536]}+{20.254:[0.0612879;0.000222105;0.919206]}+],
19.459,0.07089,0.02252,0.971823,0.0717181,0.02146,0.929447,-0.00591414,-0.0308786,-0.0129307,-0.00210691,-0.0313692,-0.0129307,[{19.554:[0.0711267;0.0183721;0.928154]}+{19.654:[0.0705353;0.0152843;0.926861]}+{19.754:[0.0699438;0.0121964;0.925568]}+{19.854:[0.0693524;0.00910856;0.924275]}+{19.954:[0.068761;0.0060207;0.922982]}+{20.054:[0.0681696;0.00293284;0.921689]}+{20.154:[0.0675782;-0.000155024;0.920395]}+{20.254:[0.0669868;-0.00324288;0.919102]}+{20.354:[0.0663954;-0.00633075;0.917809]}+],
19.558,0.0706068,0.0191024,0.969732,0.0716071,0.0183147,0.927496,0.00221679,-0.0313275,-0.026377,0.00601813,-0.0308238,-0.026377,[{19.655:[0.0718288;0.0151819;0.924859]}+{19.755:[0.0720505;0.0120492;0.922221]}+{19.855:[0.0722722;0.00891643;0.919583]}+{19.955:[0.0724939;0.00578369;0.916946]}+{20.055:[0.0727155;0.00265094;0.914308]}+{20.155:[0.0729372;-0.00048181;0.91167]}+{20.255:[0.0731589;-0.00361456;0.909033]}+{20.355:[0.0733806;-0.00674731;0.906395]}+{20.455:[0.0736022;-0.00988005;0.903757]}+],
19.658,0.0709382,0.0163045,0.968213,0.0720457,0.0152338,0.927034,0.00589776,-0.0289559,0.043491,0.00938264,-0.0280213,0.043491,[{19.755:[0.0726355;0.0123382;0.931383]}+{19.855:[0.0732252;0.00944263;0.935732]}+{19.955:[0.073815;0.00654703;0.940081]}+{20.055:[0.0744048;0.00365144;0.94443]}+{20.155:[0.0749946;0.000755851;0.948779]}+{20.255:[0.0755843;-0.00213974;0.953128]}+{20.355:[0.0761741;-0.00503533;0.957477]}+{20.455:[0.0767639;-0.00793092;0.961826]}+{20.555:[0.0773537;-0.0108265;0.966176]}+],
19.758,0.0715501,0.0131448,0.978441,0.0725443,0.0126109,0.93714,0.00297681,-0.0240394,0.144534,0.00629348,-0.0233912,0.144534,[{19.855:[0.072842;0.0102069;0.951594]}+{19.955:[0.0731397;0.00780298;0.966047]}+{20.055:[0.0734374;0.00539903;0.9805]}+{20.155:[0.0737351;0.00299509;0.994954]}+{20.255:[0.0740327;0.000591145;1.00941]}+{20.355:[0.0743304;-0.0018128;1.02386]}+{20.455:[0.0746281;-0.00421674;1.03831]}+{20.555:[0.0749258;-0.00662069;1.05277]}+{20.655:[0.0752235;-0.00902463;1.06722]}+],
19.858,0.0716481,0.0111832,0.996993,0.0726398,0.0105951,0.955902,2.64167e-05,-0.0174016,0.222957,0.00304777,-0.0171326,0.222957,[{19.955:[0.0726424;0.00885491;0.978198]}+{20.055:[0.0726451;0.00711475;1.00049]}+{20.155:[0.0726477;0.00537459;1.02279]}+{20.255:[0.0726504;0.00363443;1.04508]}+{20.355:[0.072653;0.00189427;1.06738]}+{20.455:[0.0726556;0.000154117;1.08968]}+{20.555:[0.0726583;-0.00158604;1.11197]}+{20.655:[0.0726609;-0.0033262;1.13427]}+{20.755:[0.0726636;-0.00506636;1.15656]}+],
19.958,0.0715466,0.00978525,1.01967,0.0725113,0.0090061,0.981535,-0.00289618,-0.0137754,0.284153,3.11859e-05,-0.0140766,0.284153,[{20.055:[0.0722217;0.00762856;1.00995]}+{20.155:[0.0719321;0.00625101;1.03837]}+{20.255:[0.0716425;0.00487347;1.06678]}+{20.355:[0.0713529;0.00349592;1.0952]}+{20.455:[0.0710633;0.00211838;1.12361]}+{20.555:[0.0707736;0.000740835;1.15203]}+{20.655:[0.070484;-0.00063671;1.18044]}+{20.755:[0.0701944;-0.00201425;1.20886]}+{20.855:[0.0699048;-0.0033918;1.23727]}+],
20.058,0.07113,0.0085208,1.05012,0.0720598,0.00769429,1.01233,-0.00514703,-0.012648,0.331915,-0.00216994,-0.0134816,0.331915,[{20.154:[0.0715451;0.00642949;1.04552]}+{20.254:[0.0710304;0.0051647;1.07872]}+{20.354:[0.0705157;0.0038999;1.11191]}+{20.454:[0.070001;0.0026351;1.1451]}+{20.554:[0.0694863;0.00137031;1.17829]}+{20.654:[0.0689716;0.000105508;1.21148]}+{20.754:[0.0684569;-0.00115929;1.24467]}+{20.854:[0.0679422;-0.00242409;1.27786]}+{20.954:[0.0674275;-0.00368888;1.31106]}+],
