Time;Objective;Position
0.820312;0.500000;0.003220
1.022949;0.500000;0.136820
1.223145;0.500000;0.310345
1.428223;0.500000;0.481830
1.628418;0.500000;0.630374
1.832031;0.500000;0.721791
2.032227;0.500000;0.786922
2.232910;0.500000;0.832352
2.433105;0.500000;0.860473
2.637207;0.500000;0.872747
2.845215;0.500000;0.874554
3.048340;0.500000;0.867558
3.248535;0.500000;0.854327
3.453125;0.500000;0.832934
3.656250;0.500000;0.807115
3.857910;0.500000;0.776128
4.058105;0.500000;0.735187
4.263184;0.500000;0.690688
4.463379;0.500000;0.651292
4.667969;0.500000;0.609759
4.870117;0.500000;0.566786
5.073242;0.500000;0.527871
5.273438;0.500000;0.493522
5.478027;0.500000;0.462018
5.687988;0.500000;0.433107
5.888184;0.500000;0.405228
6.088379;0.500000;0.378504
6.290039;0.500000;0.357795
6.492188;0.500000;0.343392
6.696289;0.500000;0.342858
6.897461;0.500000;0.340197
7.102051;0.500000;0.337658
7.303223;0.500000;0.337722
7.506348;0.500000;0.336111
7.707520;0.500000;0.338019
7.908203;0.500000;0.344709
8.112305;0.500000;0.352167
8.312988;0.500000;0.366834
8.513184;0.500000;0.379264
8.713379;0.500000;0.396694
8.916992;0.500000;0.415425
9.117188;0.500000;0.436627
9.317871;0.500000;0.457495
9.518066;0.500000;0.480517
9.722168;0.500000;0.498991
9.923340;0.500000;0.512526
10.138184;0.500000;0.522717
10.343262;0.500000;0.534031
10.548340;0.500000;0.544172
10.753418;0.500000;0.553053
10.957031;0.500000;0.558537
11.158203;0.500000;0.560214
11.358398;0.500000;0.564660
11.562012;0.500000;0.564019
11.762207;0.500000;0.561377
11.962891;0.500000;0.556659
12.168457;0.500000;0.572166
12.372070;0.500000;0.578041
12.577148;0.500000;0.572327
12.778320;0.500000;0.557743
12.978516;0.500000;0.550867
13.180176;0.500000;0.538148
13.383301;0.500000;0.515951
13.592285;0.500000;0.502459
13.807129;0.500000;0.494966
14.012207;0.500000;0.484431
14.213379;0.500000;0.478899
14.417969;0.500000;0.471475
14.623535;0.500000;0.468164
14.828125;0.500000;0.467537
15.033203;0.500000;0.469038
15.235352;0.500000;0.473259
15.437988;0.500000;0.478871
15.641113;0.500000;0.478884
15.851074;0.500000;0.479300
16.052734;0.500000;0.478042
16.252930;0.500000;0.482276
16.453125;0.500000;0.489399
16.658203;0.500000;0.494114
16.862305;0.500000;0.500199
17.068359;0.500000;0.509599
17.271973;0.500000;0.515744
17.473145;0.500000;0.518241
17.676758;0.500000;0.517339
17.876953;0.500000;0.521479
18.083008;0.500000;0.526267
18.283203;0.500000;0.528675
18.483398;0.500000;0.524221
18.687012;0.500000;0.524115
18.896973;0.500000;0.523791
19.098145;0.500000;0.523339
19.302246;0.500000;0.523955
19.503418;0.500000;0.528826
19.708008;0.500000;0.528982
19.913574;0.500000;0.527665
20.118164;0.500000;0.528576
20.318359;0.500000;0.527852
20.523438;0.500000;0.519358
20.723633;0.500000;0.511382
20.927246;0.500000;0.501771
21.128418;0.500000;0.464850
21.338379;0.500000;0.411268
21.541992;0.500000;0.354144
21.743164;0.500000;0.304764
21.947266;0.500000;0.257177
