Time;Objective;Position
0.584473;0.500000;0.000468
0.785156;0.500000;0.042648
0.990234;0.500000;0.136741
1.194336;0.500000;0.250355
1.395508;0.500000;0.375531
1.600098;0.500000;0.510469
1.800293;0.500000;0.640946
2.004395;0.500000;0.761350
2.205566;0.500000;0.856877
2.410156;0.500000;0.923326
2.610352;0.500000;0.955183
2.814941;0.500000;0.957997
3.015137;0.500000;0.935622
3.220215;0.500000;0.891501
3.430176;0.500000;0.825243
3.635254;0.500000;0.753247
3.839355;0.500000;0.681737
4.040527;0.500000;0.612541
4.245117;0.500000;0.544564
4.445312;0.500000;0.482082
4.655273;0.500000;0.425745
4.855957;0.500000;0.383436
5.059082;0.500000;0.353452
5.259766;0.500000;0.336563
5.459961;0.500000;0.328355
5.660156;0.500000;0.327904
5.865234;0.500000;0.336218
6.065430;0.500000;0.351411
6.270020;0.500000;0.372251
6.474121;0.500000;0.394954
6.675293;0.500000;0.417061
6.875488;0.500000;0.438502
7.080078;0.500000;0.462388
7.285156;0.500000;0.489303
7.489258;0.500000;0.513317
7.689453;0.500000;0.533438
7.890137;0.500000;0.548039
8.090332;0.500000;0.558545
8.294922;0.500000;0.565793
8.495117;0.500000;0.569999
8.700195;0.500000;0.570881
8.900391;0.500000;0.568938
9.104004;0.500000;0.564632
9.305176;0.500000;0.556493
9.510254;0.500000;0.542778
9.710449;0.500000;0.526915
9.913086;0.500000;0.510959
10.115234;0.500000;0.497710
10.316895;0.500000;0.489191
10.520020;0.500000;0.483624
10.725098;0.500000;0.480941
10.934082;0.500000;0.481528
11.135254;0.500000;0.481812
11.335449;0.500000;0.483818
11.540039;0.500000;0.488802
11.740234;0.500000;0.494505
11.944336;0.500000;0.500194
12.146484;0.500000;0.503365
12.347168;0.500000;0.505331
12.550293;0.500000;0.506782
12.753906;0.500000;0.509349
12.955566;0.500000;0.513113
13.162109;0.500000;0.516979
13.364746;0.500000;0.520145
13.564941;0.500000;0.520926
13.767578;0.500000;0.521435
13.970215;0.500000;0.518334
14.170410;0.500000;0.513850
14.375000;0.500000;0.508811
14.578125;0.500000;0.503428
14.779297;0.500000;0.497192
14.980469;0.500000;0.490635
15.185059;0.500000;0.486460
