Time;Objective;Position
0.584473;0.500000;0.000379
0.785156;0.500000;0.038183
0.990234;0.500000;0.122258
1.194336;0.500000;0.226516
1.395508;0.500000;0.347917
1.600098;0.500000;0.478995
1.800293;0.500000;0.606066
2.004395;0.500000;0.724661
2.205566;0.500000;0.821270
2.410156;0.500000;0.897304
2.610352;0.500000;0.952243
2.814941;0.500000;0.986431
3.015137;0.500000;0.995329
3.220215;0.500000;0.977521
3.430176;0.500000;0.933949
3.635254;0.500000;0.873151
3.839355;0.500000;0.798834
4.040527;0.500000;0.715090
4.245117;0.500000;0.626256
4.445312;0.500000;0.542220
4.655273;0.500000;0.460037
4.855957;0.500000;0.394995
5.059082;0.500000;0.346647
5.259766;0.500000;0.311808
5.459961;0.500000;0.285712
5.660156;0.500000;0.271290
5.865234;0.500000;0.271393
6.065430;0.500000;0.285420
6.270020;0.500000;0.309395
6.474121;0.500000;0.339059
6.675293;0.500000;0.370857
6.875488;0.500000;0.404191
7.080078;0.500000;0.437576
7.285156;0.500000;0.472201
7.489258;0.500000;0.504101
7.689453;0.500000;0.530793
7.890137;0.500000;0.550129
8.090332;0.500000;0.562190
8.294922;0.500000;0.567202
8.495117;0.500000;0.566389
8.700195;0.500000;0.562268
8.900391;0.500000;0.557152
9.104004;0.500000;0.549249
9.305176;0.500000;0.540061
9.510254;0.500000;0.531189
9.710449;0.500000;0.524768
9.913086;0.500000;0.519329
10.115234;0.500000;0.514595
10.316895;0.500000;0.511263
10.520020;0.500000;0.508873
10.725098;0.500000;0.508057
10.934082;0.500000;0.508935
11.135254;0.500000;0.510029
11.335449;0.500000;0.507839
11.540039;0.500000;0.501204
11.740234;0.500000;0.495844
11.944336;0.500000;0.492675
12.146484;0.500000;0.493317
12.347168;0.500000;0.493760
12.550293;0.500000;0.493784
12.753906;0.500000;0.493273
12.955566;0.500000;0.494392
13.162109;0.500000;0.498046
13.364746;0.500000;0.500575
13.564941;0.500000;0.500975
13.767578;0.500000;0.499209
13.970215;0.500000;0.495678
14.170410;0.500000;0.496803
14.375000;0.500000;0.500288
14.578125;0.500000;0.501303
14.779297;0.500000;0.499082
14.980469;0.500000;0.497576
15.185059;0.500000;0.497351
